x,y,z,value,magnitude,label
423,274,295,116.0,22.15287791687572,liver
272,278,296,85.0,23.39337513057917,liver
368,160,304,68.0,15.256146302392358,liver
275,319,267,62.0,59.15023245939106,liver
405,304,264,105.0,27.90161285660741,liver
346,146,270,89.0,29.782545223670862,liver
360,167,255,-2.0,139.40139884520528,background
452,260,232,20.0,39.4715087119811,background
353,223,281,63.0,14.097872179871684,liver
388,305,300,113.0,53.57704732439069,liver
341,268,293,83.0,58.73031585135568,liver
294,157,241,-135.0,21.25441130683228,background
446,248,263,37.0,38.21648858804273,liver
443,354,248,-92.0,17.804493814764857,background
367,311,300,114.0,30.343862641397518,liver
236,162,232,600.0,123.9637043654311,background
340,183,311,59.0,16.147755261955144,liver
307,260,325,79.0,31.392674304684526,liver
425,247,244,43.0,33.17001658124397,liver
358,292,311,69.0,18.083141320025124,liver
393,170,310,35.0,163.4694160997708,liver
273,134,294,447.0,25.84569596664017,background
339,282,262,23.0,41.26136207155552,background
204,133,291,-315.0,416.4015489884734,background
393,225,298,64.0,6.576473218982953,liver
443,204,303,48.0,7.566372975210778,liver
404,225,239,56.0,32.592176975464525,liver
364,296,244,-18.0,29.841246622753548,background
341,177,296,107.0,12.816005617976296,liver
249,359,305,94.0,18.894443627691185,liver
266,138,283,342.0,33.294143629172986,background
210,152,258,-117.0,65.99242380758567,background
264,265,303,74.0,32.64199748789893,liver
261,341,257,129.0,40.50308630215727,liver
356,274,312,66.0,16.31716887208072,liver
388,247,321,108.0,31.15284898689043,liver
392,314,296,109.0,28.609439001839934,liver
336,328,293,82.0,23.065125189341593,liver
242,251,302,77.0,24.186773244895647,liver
342,215,274,103.0,14.035668847618199,liver
244,255,298,88.0,76.90741186647747,liver
410,190,273,39.0,37.911080174534725,liver
257,373,261,8.0,31.452344904633105,background
318,325,269,102.0,40.86257456401884,liver
300,148,264,-66.0,41.901670611086615,background
351,302,294,63.0,44.3818656660578,liver
442,184,285,78.0,49.33558553417604,liver
402,286,239,51.0,86.95401083331349,liver
305,348,264,38.0,20.79062288629179,liver
447,195,271,64.0,16.62077013859466,liver
187,203,258,133.0,33.57082066318904,background
448,213,261,88.0,31.768695283250146,liver
328,205,290,127.0,53.7168502427311,liver
283,343,312,79.0,17.628102563804195,liver
394,188,220,-87.0,14.832396974191326,background
356,324,284,99.0,11.324751652906125,liver
396,230,314,89.0,26.239283526803852,liver
223,365,279,-103.0,14.115594213493104,background
391,300,302,118.0,17.52141546793523,liver
405,313,256,149.0,13.756816492197604,liver
430,237,308,27.0,9.682458365518542,liver
392,314,307,80.0,16.881943016134134,liver
449,261,302,42.0,16.15549442140351,liver
425,228,278,47.0,36.60601043544625,liver
393,332,254,51.0,23.157072353818823,liver
250,307,317,76.0,25.816661286851172,liver
420,193,259,94.0,29.0215437218629,liver
305,325,225,-126.0,59.51260370711401,background
