x,y,z,value,magnitude,label
391,271,255,98.0,19.56399754651385,liver
340,295,282,61.0,18.39157415774952,liver
420,287,231,75.0,25.233905761891084,liver
237,313,285,87.0,21.627528753882167,liver
369,289,219,111.0,25.06990227344335,liver
427,176,267,76.0,15.596473960482221,liver
269,358,290,12.0,27.70830200499482,background
135,271,292,-478.0,420.6081906002307,background
317,402,188,-117.0,22.47220505424423,background
282,201,262,289.0,48.71601379423403,background
331,165,281,-844.0,22.124646889837585,background
399,348,255,117.0,19.67866865415443,liver
261,298,272,82.0,12.718097341976904,liver
385,229,254,91.0,25.632011235952593,liver
279,264,269,95.0,14.212670403551895,liver
357,281,220,68.0,28.7489130229301,liver
374,182,242,17.0,102.8870740180709,background
205,294,215,-50.0,46.37078821844632,background
361,268,264,132.0,36.362755671153415,liver
332,241,286,83.0,11.324751652906125,liver
247,370,164,-64.0,49.924943665466465,background
282,335,199,-34.0,77.37732225917358,background
366,282,195,43.0,36.99324262618783,liver
284,166,205,68.0,33.90796366637195,background
210,173,265,-46.0,63.94919858762891,background
372,365,274,86.0,10.41633332799983,liver
182,282,228,45.0,67.65722430014404,background
189,231,189,59.0,16.178689687363438,background
218,370,265,98.0,7.681145747868608,liver
374,312,231,64.0,17.255433926737396,liver
331,420,170,67.0,17.684739183827393,background
236,330,166,-87.0,70.09279563550022,background
190,390,248,-970.0,11.779218989389747,background
446,361,282,57.0,13.536986370680884,background
268,159,200,424.0,199.32950107798897,background
258,352,190,-11.0,62.18118686548207,background
280,375,295,-112.0,6.461423991660043,background
439,391,172,-108.0,4.9749371855331,background
348,348,245,-23.0,39.48417404479927,liver
335,208,256,103.0,36.065911883661,liver
161,160,274,-101.0,62.325757115337154,background
423,239,213,73.0,19.697715603592208,liver
384,272,195,69.0,33.15116890850155,liver
427,268,163,72.0,36.138621999185304,liver
368,316,179,-86.0,49.98249693642766,background
221,401,190,-112.0,27.595289453093258,background
403,373,160,-67.0,57.15548967509595,background
247,325,279,110.0,15.945218719101975,liver
396,364,252,78.0,11.937336386313323,liver
382,285,218,78.0,29.62262648719725,liver
293,236,260,154.0,25.480384612481814,background
182,227,166,49.0,16.64331697709324,background
401,344,234,62.0,2.449489742783178,liver
301,328,292,59.0,45.735653488279794,liver
376,211,246,83.0,35.415392133929565,liver
302,318,251,83.0,23.732888572611635,liver
336,334,270,82.0,18.411952639521967,liver
372,361,222,103.0,11.968709203585824,liver
392,371,269,104.0,16.881943016134134,liver
190,318,282,76.0,7.280109889280518,liver
405,315,260,93.0,30.903074280724887,liver
139,296,164,65.0,24.300205760445735,background
171,349,231,-20.0,20.838665984174707,background
382,261,254,81.0,18.062391868188442,liver
291,419,251,-106.0,7.566372975210778,background
413,299,204,95.0,15.5,liver
316,378,262,112.0,19.72308292331602,liver
400,208,218,-3.0,133.24507495588722,background
161,161,228,7.0,82.34530952033637,background
333,246,207,83.0,44.94441010848846,background
283,398,237,61.0,27.536339626028727,liver
364,271,205,86.0,16.605721905415614,liver
444,280,245,85.0,29.231831964486933,liver
261,290,277,70.0,20.43281674170255,liver
198,266,228,-97.0,32.18695387886216,background
223,389,244,86.0,43.70926675202868,background
412,213,252,100.0,24.58149710656371,liver
199,205,186,61.0,16.46207763315433,background
381,358,266,90.0,21.742814905158898,liver
292,290,270,73.0,37.17189798759272,liver
446,297,260,92.0,10.476163419878482,liver
400,283,254,63.0,8.411301920630361,liver
430,312,168,100.0,8.154753215150045,liver
360,223,223,97.0,45.26864256855953,background
374,282,269,67.0,7.19374728496908,liver
202,233,256,49.0,21.79449471770337,background
291,333,256,107.0,15.329709716755891,liver
307,334,204,-72.0,41.96724913548659,background
408,266,223,102.0,15.84297951775486,liver
188,392,217,-223.0,269.20484765323226,background
341,337,231,-14.0,16.278820596099706,background
316,204,271,-118.0,12.12435565298214,background
148,388,274,33.0,26.711420778386163,background
164,166,271,-96.0,15.02497920131672,background
