x,y,z,value,magnitude,label
371,162,235,72.0,13.490737563232042,liver
392,299,261,131.0,15.329709716755891,liver
352,261,273,84.0,23.302360395462088,liver
401,177,215,95.0,21.142374511865974,liver
264,151,263,246.0,95.98176910226233,background
335,220,283,-747.0,34.64823227814083,background
360,352,251,89.0,2.9154759474226504,liver
233,147,228,146.0,58.148516748065035,background
465,381,167,-107.0,9.539392014169456,background
470,256,201,109.0,9.082951062292475,liver
424,351,234,90.0,14.247806848775006,liver
427,252,271,-192.0,432.29272489830316,liver
363,250,224,91.0,39.15992849840255,liver
375,390,283,136.0,173.2072458068657,background
380,204,245,68.0,32.14031735997639,liver
386,305,198,95.0,15.058220346375597,liver
393,297,195,130.0,27.54087870784082,liver
411,344,202,108.0,35.97916063501204,liver
402,350,163,-854.0,273.96852008944387,background
365,155,266,-765.0,19.5,background
367,287,203,129.0,24.899799195977465,liver
273,355,248,132.0,23.275523624614763,liver
252,346,250,102.0,34.767082132384935,liver
292,374,249,116.0,15.763882770434446,liver
374,211,212,116.0,21.0,liver
219,333,257,114.0,23.58495283014151,liver
382,223,230,69.0,6.224949798994366,liver
352,334,254,102.0,14.062361110425233,liver
422,309,220,82.0,7.937253933193772,liver
267,134,243,146.0,314.5969643845916,background
289,372,256,94.0,1.7320508075688772,liver
443,262,197,118.0,21.289668856043768,liver
375,236,219,107.0,28.35489375751565,liver
438,147,214,-65.0,33.0,background
354,270,222,107.0,27.83433131943356,liver
466,229,177,-96.0,13.6106575888162,background
400,267,190,101.0,6.123724356957945,liver
401,195,202,105.0,40.35157989472035,liver
375,222,271,87.0,21.6043977004683,liver
308,379,243,128.0,26.16772821625905,liver
348,233,256,172.0,17.95132307101624,liver
374,209,240,160.0,38.768543949960254,liver
258,285,231,44.0,24.78406746278746,liver
357,218,231,120.0,4.183300132670378,liver
458,287,187,91.0,5.852349955359813,liver
408,267,203,120.0,46.10585646097467,liver
431,314,185,115.0,24.176434807473164,liver
280,294,241,88.0,4.58257569495584,liver
391,336,271,142.0,28.253318389173334,liver
386,281,223,80.0,24.632295873507204,liver
230,258,266,-23.0,37.39318119657647,background
318,349,281,74.0,38.421998906876254,liver
351,236,248,131.0,20.143237078483686,liver
458,272,255,45.0,43.96305266925854,background
403,380,221,101.0,16.635804759614125,liver
414,346,272,-19.0,274.8440466882992,liver
432,182,248,82.0,16.688319268278637,liver
426,289,223,117.0,27.04163456597992,liver
226,289,232,-65.0,28.071337695236398,background
402,270,232,104.0,22.197972880423112,liver
386,349,246,103.0,14.080127840328723,liver
398,287,208,97.0,22.06241147291021,liver
211,169,240,-669.0,119.1060451866319,background
441,290,179,61.0,26.911893281595777,liver
416,328,275,-47.0,321.170515458689,liver
203,240,211,-109.0,18.23458252881047,background
346,245,255,86.0,41.38840417314975,liver
406,201,204,79.0,18.350749303502567,liver
427,340,231,110.0,40.63249930782009,liver
223,216,272,-88.0,69.38479660559653,background
