x,y,z,value,magnitude,label
314,228,261,153.0,12.216791722870616,liver
369,317,250,181.0,16.454482671904334,liver
287,317,241,171.0,11.76860229593982,liver
404,255,280,172.0,12.757350822173073,liver
302,319,255,167.0,13.285330255586423,liver
378,231,216,169.0,13.143439428094915,liver
366,318,230,180.0,10.18577439373168,liver
377,342,230,-50.0,33.417809623013895,background
361,319,231,166.0,14.396180048887969,liver
328,296,228,171.0,24.315632831575655,liver
300,281,259,155.0,11.76860229593982,liver
321,219,262,140.0,18.069310999592652,liver
421,230,264,148.0,9.460443964212251,liver
346,304,241,171.0,11.521718621802913,liver
223,250,271,110.0,11.565033506220377,background
397,251,246,171.0,7.365459931328117,liver
241,340,272,136.0,74.53187237685633,liver
237,247,242,77.0,16.822603841260722,background
352,231,290,120.0,131.92516818257235,liver
244,269,258,160.0,15.668439615992398,liver
291,275,265,159.0,8.093207028119323,liver
386,246,188,55.0,50.16472864473604,background
429,238,186,148.0,73.52720584926371,liver
385,203,282,153.0,50.24440267333268,liver
382,281,203,177.0,9.874208829065749,liver
413,249,263,167.0,13.592277219068187,liver
358,322,248,177.0,14.933184523068078,liver
225,292,279,138.0,39.1184099881373,liver
310,216,243,39.0,30.04995840263344,background
364,270,267,159.0,53.96758286230726,liver
324,216,205,281.0,19.04599695474091,background
381,290,210,176.0,30.748983723043597,liver
340,270,224,148.0,15.740076238697194,liver
375,193,254,146.0,20.42057785666214,liver
273,347,175,17.0,34.677081768799404,background
252,284,271,169.0,6.164414002968976,liver
339,297,228,139.0,9.5,liver
264,258,213,100.0,28.0178514522438,background
346,156,264,129.0,24.212600025606502,liver
320,351,292,333.0,300.44841487350203,background
370,201,271,145.0,11.20267825120404,liver
284,256,263,159.0,19.937402037376884,liver
275,284,257,145.0,23.130067012440755,liver
317,217,233,-47.0,23.2379000772445,background
350,151,258,155.0,19.570385790780925,liver
373,263,273,146.0,6.576473218982953,liver
377,343,248,30.0,18.934096228761486,background
278,275,291,302.0,40.04684756631912,background
233,274,272,144.0,30.112289849827096,liver
404,295,276,166.0,16.605721905415614,liver
402,211,196,175.0,6.946221994724902,liver
243,187,191,280.0,36.837480912787726,background
278,262,257,177.0,7.123903424387503,liver
287,291,264,164.0,7.664854858377946,liver
318,254,256,155.0,21.11279233071741,liver
403,250,235,153.0,6.855654600401044,liver
338,351,186,-118.0,12.216791722870616,background
246,188,220,249.0,44.83023533286436,background
219,347,213,73.0,5.809475019311125,background
215,295,197,168.0,45.458772530722825,background
200,295,271,150.0,12.5,liver
405,223,206,177.0,7.245688373094719,liver
221,293,261,148.0,16.665833312498957,liver
276,259,221,142.0,14.0089257261219,background
225,323,257,169.0,9.460443964212251,liver
318,272,258,172.0,20.0187412191676,liver
296,337,253,192.0,13.114877048604,liver
358,266,228,157.0,6.041522986797286,liver
431,171,187,-103.0,4.242640687119285,background
213,351,221,10.0,35.02855977627399,background
346,261,248,165.0,23.574350468252568,liver
208,353,193,-105.0,9.848857801796104,background
218,246,213,113.0,16.75559608011604,background
420,205,245,172.0,9.069178573608527,liver
284,338,279,-71.0,16.710774967068403,liver
249,347,250,186.0,14.933184523068078,liver
344,198,287,-603.0,80.50621094052309,background
412,249,225,185.0,14.756354563373707,liver
389,354,230,-99.0,11.090536506409418,background
356,258,288,157.0,14.958275301651591,liver
385,273,221,175.0,5.1478150704935,liver
371,213,264,163.0,9.041570660012562,liver
406,192,199,119.0,63.47637355741111,liver
324,335,241,177.0,8.760707733967616,liver
373,319,271,180.0,11.357816691600547,liver
416,237,198,161.0,22.655021518418383,liver
324,271,267,158.0,11.368817000902073,liver
388,308,277,174.0,8.18535277187245,liver
213,167,258,-12.0,46.58862522118462,background
208,341,175,-33.0,11.379806676741042,background
423,249,234,190.0,13.30413469565007,liver
206,302,263,128.0,20.958291915134687,liver
323,291,268,167.0,12.796483892069727,liver
352,290,265,158.0,9.300537618869138,liver
257,336,281,20.0,50.941142507800116,background
256,352,292,-76.0,16.867127793433,background
263,216,195,184.0,20.8746257451481,background
275,316,244,157.0,4.6097722286464435,liver
268,344,245,201.0,11.800423721205947,liver
392,192,259,178.0,7.19374728496908,liver
381,301,257,171.0,24.228082879171435,liver
266,266,267,164.0,17.89553016817328,liver
384,261,202,164.0,16.56804152578089,liver
310,254,286,142.0,16.023420358962067,liver
274,309,280,128.0,76.38880808076534,liver
316,284,265,170.0,9.82344135219425,liver
329,270,257,187.0,22.299103120977758,liver
378,247,225,167.0,4.769696007084728,liver
376,221,243,175.0,23.286262044390035,liver
429,308,253,-107.0,16.830032679706836,background
279,300,259,-64.0,270.9386461913472,liver
249,340,252,187.0,9.72111104761179,liver
384,288,215,186.0,19.222382786741086,liver
372,283,263,153.0,11.789826122551595,liver
242,224,263,273.0,7.745966692414834,background
320,308,288,-529.0,463.98814640031486,background
402,277,266,167.0,15.370426148939398,liver
231,248,240,87.0,26.348624252510795,background
186,284,261,-8.0,14.186260959111108,background
387,230,210,177.0,7.22841614740048,liver
405,267,192,169.0,9.604686356149273,liver
397,250,201,182.0,10.074720839804943,liver
413,331,292,-44.0,7.762087348130012,background
408,200,251,166.0,9.987492177719089,liver
314,320,244,159.0,16.64331697709324,liver
384,160,199,43.0,7.729812416870153,background
356,231,257,120.0,18.887826767524103,liver
337,256,268,147.0,12.619429464123963,liver
397,211,214,168.0,5.123475382979799,liver
223,309,246,159.0,8.703447592764606,liver
422,201,213,114.0,67.16583953171434,liver
232,294,253,170.0,9.539392014169456,liver
349,227,249,157.0,8.986100377805714,liver
375,217,284,165.0,14.958275301651591,liver
323,277,282,143.0,6.18465843842649,liver
271,153,280,15.0,27.032387981826542,background
