x,y,z,value,magnitude,label
308,218,255,-64.0,22.85825890132492,background
363,319,258,122.0,30.5081956201936,liver
259,293,276,37.0,32.334192428449484,liver
348,157,243,-35.0,60.751543190276244,background
222,298,287,91.0,28.543825952384168,liver
396,167,279,87.0,17.029386365926403,liver
405,318,249,75.0,10.920164833920778,liver
312,306,234,-115.0,175.53703312976438,background
328,245,308,115.0,37.06076092041285,liver
299,368,279,61.0,20.291623887703025,liver
381,208,265,103.0,21.6043977004683,liver
229,182,286,-53.0,69.94104660355033,background
211,165,221,26.0,31.22098653149833,background
184,273,267,-119.0,27.599818839985165,background
391,272,320,111.0,5.873670062235365,liver
403,216,275,114.0,15.016657417681207,liver
339,217,264,37.0,55.94640292279746,background
221,308,282,83.0,58.46152580971523,liver
177,222,223,-88.0,26.42915057280502,background
347,359,309,-66.0,30.02082610455615,background
433,328,312,50.0,25.72450193881312,background
341,228,289,127.0,15.231546211727817,liver
181,369,228,-63.0,23.69071548096427,background
417,284,226,107.0,37.74254893353124,liver
292,380,298,43.0,94.93418773023762,background
442,237,287,124.0,9.0,liver
223,327,313,69.0,21.047565179849187,background
231,268,282,-29.0,17.55704986607944,background
341,272,243,89.0,19.893466264077762,liver
345,198,249,140.0,20.310096011589902,background
282,258,254,15.0,53.60970061472084,background
441,385,298,-1000.0,17.60681686165901,background
225,215,292,72.0,29.16761903207048,background
366,313,321,65.0,17.09532099727876,liver
296,344,266,102.0,11.895377253370318,liver
385,278,233,93.0,19.4164878389476,liver
194,355,284,113.0,14.439529078193651,liver
339,196,303,91.0,16.046806535881213,liver
397,230,244,43.0,39.90613987846983,liver
306,309,300,89.0,37.155080406318596,liver
407,292,242,117.0,22.798026230355994,liver
326,266,273,99.0,20.0,liver
440,214,304,15.0,173.13361891903028,background
421,309,319,-202.0,306.59011725755283,background
396,317,244,111.0,37.403208418530085,liver
274,157,298,25.0,41.650330130744464,background
375,293,251,58.0,20.414455662593603,liver
275,265,328,69.0,14.882876066137216,background
326,368,286,124.0,22.73213584333861,liver
449,263,282,72.0,7.615773105863909,background
281,158,236,704.0,258.69866640553056,background
365,298,262,105.0,49.49747468305833,liver
359,315,230,-34.0,14.908051515875574,background
217,321,264,101.0,25.37222891273055,liver
407,300,302,118.0,11.368817000902073,liver
387,192,235,158.0,23.86419912756345,background
391,395,282,106.0,25.238858928247925,background
437,239,246,109.0,23.45207879911715,liver
297,381,297,50.0,80.422322771728,liver
167,312,274,80.0,34.307433596816885,liver
367,396,301,77.0,38.05916446797013,background
200,315,258,-16.0,83.59874400970388,background
274,302,270,104.0,22.907422377910613,liver
224,330,250,-19.0,53.82843114934709,background
415,320,235,103.0,8.902246907382429,liver
349,262,268,107.0,24.372115213907882,liver
275,397,215,1.0,31.870833060966575,background
253,168,315,346.0,58.14206738670375,background
285,347,301,84.0,28.217902119044926,liver
348,342,282,103.0,19.653244007033546,liver
398,202,270,68.0,17.240939649566666,liver
269,341,282,85.0,49.81214711292819,liver
316,289,283,119.0,25.83118270617898,liver
379,336,298,106.0,18.479718612576328,liver
332,291,282,98.0,24.119494190384675,liver
222,346,294,94.0,12.5,liver
404,304,304,49.0,20.93442141545832,liver
343,318,245,65.0,19.691368667515217,background
266,276,275,56.0,21.4883689469443,liver
438,286,257,152.0,18.069310999592652,liver
416,338,286,17.0,75.30106240950388,background
150,285,281,93.0,47.69171835864168,liver
375,294,233,77.0,15.272524349301264,liver
417,282,300,142.0,9.526279441628825,liver
443,243,244,91.0,28.398943642325854,liver
382,350,266,93.0,11.958260743101398,liver
337,326,265,77.0,28.0178514522438,liver
444,232,279,126.0,13.294735800308331,liver
156,323,278,84.0,37.64306044943742,liver
384,190,286,125.0,31.12073263919087,liver
430,206,258,80.0,12.96148139681572,liver
256,363,301,96.0,27.440845468024488,liver
250,181,255,263.0,59.60494945891658,background
331,289,251,77.0,25.86986664055306,liver
278,274,292,64.0,41.33702940463913,liver
116,264,216,66.0,39.455671328720285,background
365,304,272,100.0,26.879360111431225,liver
233,325,243,42.0,36.135162930309306,background
255,298,276,48.0,32.626676202150904,liver
